What's your favorite candy?,What is your favorite dinner?,Cats or Dogs?,Are you currently enrolled in CSE 351?
Reallly like Milky Way,Probably anything with lots of vegies.,Dogs,Yes
Lollipop,Pizza,Cats,Yes
Twix,that swedish meatball meal at Ikea,Dogs,Yes
Gummy worms,Three pepper pork belly stir fry,Neither,No
sour patch,rice,Dogs,Yes
Sour Patch Kids,Beef Stroganoff,Neither,Yes
I don't like candies,Anything with good people,Neither,Yes
Candy corn,Sushi,Dogs,Yes
Snickers,Vegetable soup with rice,Cats,No
Watermelon Sour Patch Kids,Ravioli with Alfredo Sauce,Cats,Yes
Reese's,Burritos,Dogs,Yes
sour patch kids,vietnamese food like pho or bun bo hue,Dogs,No
Mr. Goodbar,Pizza,Neither,No
Reece's Fast Break,Dumplings,Dogs,No
strawberry drops,noodles,Cats,No
ew,fried rice,Dogs,No
n/a,indian food,Cats,Yes
jolly rancher,lasagna,Dogs,No
dark chocolate,anything from home,Dogs,No
sour patch kids,bibimbap,Cats,Yes
idk,idk,Cats,Yes
skittles,korean bbq or hot pot,Cats,No
KitKat,Tofu,Dogs,No
chupachups,chipotle,Dogs,Yes
Sour Patch,Chicken Parm,Dogs,Yes
I don't eat sugar. I am sorry haha. I have acne issues.,Steak and Fries,Dogs,No
I don't like candy,noodles,Neither,Yes
Rips,fried rice,Cats,No
Kit Kat,Mala hotpot,Dogs,No
Sour patch kids,Korean BBQ,Dogs,No
Sour gummy worms,Korean BBQ,Dogs,Yes
Green apple sour candy,Noodle soup,Dogs,No
cookies,steak,Dogs,No
Sweet Tart Ropes,Steak potatoes rice.,Dogs,No
Penut butter cups,Pizza,Dogs,Yes
M&M's,noodle,Cats,Yes
snickers,sushi,Neither,Yes
Nerds,Spaghetti Boulognese,Cats,Yes
Peanut M&M's,A freshly brewed double espresso,Cats,Yes
york,lasagna,Cats,Yes
Chocolate (if it counts),I like many so choosing one favorite would be hard,Cats,No
Chocolate,Domino's Pizza,Dogs,No
kitkats,paneer paratha,Cats,Yes
twix,i do not know,Cats,Yes
Kit Kats,Pizza,Dogs,No
Jolly Ranchers,Maybe stroganoff?,Neither,No
Skittles,Steak or pasta,Dogs,Yes
Dark Chocolate,Burger,Cats,Yes
Chocolate Truffles,Sushi,Neither,Yes
Kitkat,Hotpot,Cats,Yes
Copper wires,Copper wires with cheese and bread,Dogs,Yes
Reeses,Chicken and Rice,Dogs,No
Reese's,Miso salmon,Dogs,Yes
kitkat,steak,Cats,Yes
Milky Way,Chicken Murtabak,Neither,No
Gummy bears,Noodles,Cats,Yes
Hi-Chew,Italian,Dogs,No
Kit Kat,Hot pot,Dogs,Yes
cotton candy,original cheese pizza,Dogs,No
Skittles,Spaghetti,Dogs,Yes
Kit kats,chicken burritos,Dogs,Yes
A scoop of raw honey or solidified maple syrup,Mashed potatoes + a stew of some sort,Dogs,No
Twix,Anything hearty,Dogs,Yes
twix,seafood,Neither,No
Skittles,Rice,Dogs,Yes
gummy bears,lasagna,Dogs,Yes
Anything Sour,Surf and Turf,Dogs,No
Pelon Pelo Rico,Sopes,Cats,Yes
ferrero rocher,rice and meat,Dogs,No
Jellybeans,Burritos,Dogs,No
taffy,sushi,Dogs,No
Swedish Fish,Sauteed green beans with eggplant,Cats,Yes
Chocolate: Reese's; Candy: Sour Patch Kids,Just something homemade and hot like baked ziti or something,Cats,Yes
Hi-Chew or Starburst,Soup,Cats,No
Skittles,Lasagna,Dogs,Yes
Kit Kat,Steak,Dogs,No
Kit Kat,Ramen,Dogs,No
Dont like candy,M,Cats,No
Smarties,Lasagna,Dogs,No
Sour Skittles,Ban Mian,Dogs,No
Hershey's,Sushi,Dogs,No
Candy Corn,Pizza,Cats,No
Kit Kat,Rice and Chicken,Cats,No
Jolly Rancher,chicken,Cats,No
Matcha Kitkats :),Sushi,Dogs,Yes
Twix,A tasty one,Dogs,Yes
Sour Patch Watermelon,Pasta,Dogs,Yes
Kit-Kat,Paneer,Dogs,No
Airheads,Pizza,Cats,No
I don't like candies,sushi,Dogs,No
Twix,Dumplings,Dogs,No
I don't eat candy,Stir fried noodles with squid.,Dogs,Yes
Milk Chocolate,Taste of Xi'an,Cats,Yes
Kit Kat,Dumplings,Dogs,No
Hi-Chew,Ramen,Dogs,No
I only eat them when others give them to me,I don't know,Cats,No
Reese's,Pad Thai,Dogs,No
Almond Joy/Jolly Ranchers,Salmon,Cats,No
Ramune candy,Steak,Dogs,No
Sour Patch Kids,Pasta,Dogs,Yes
Sour Patch Kids,Kotletky (Russian Chicken Cutlets),Dogs,No
Jelly Beans,Wings,Dogs,Yes
kit kat,channa masala with poori,Cats,Yes
kitkat,pasta,Cats,No
